$ [qin_kol001_seg002_sub002] [2015 - 2048],
$ [qin_kol001_seg002_sub002],
JDAY,Q (M3/S)
1535,1.1456
1536,1.3674
1537,1.661
1538,1.6435
1539,1.6164
1540,1.5892
1541,1.5621
1542,1.5366
1543,1.511
1544,1.4855
1545,1.46
1546,1.436
1547,1.4121
1548,1.3882
1549,1.3658
1550,1.3419
1551,1.3196
1552,1.2972
1553,1.2765
1554,1.2541
1555,1.2334
1556,1.2127
1557,1.1935
1558,1.1728
1559,1.1536
1560,1.1345
1561,1.1153
1562,1.3674
1563,1.5094
1564,1.5765
1565,1.5509
1566,1.5828
1567,1.6339
1568,1.6754
1569,1.8493
1570,1.819
1571,1.811
1572,1.7807
1573,1.7807
1574,1.7504
1575,1.7217
1576,1.6929
1577,1.6642
1578,1.6371
1579,1.61
1580,1.5828
1581,1.5557
1582,1.5302
1583,1.5047
1584,1.4791
1585,1.4536
1586,1.4297
1587,1.4057
1588,1.3818
1589,1.3595
1590,1.3371
1591,1.3148
1592,1.2924
1593,1.2701
1594,1.2494
1595,1.2286
1596,1.2079
1597,1.1887
1598,1.168
1599,1.1488
1600,1.1297
1601,1.1105
1602,1.093
1603,1.0738
1604,1.0563
1605,1.0387
1606,1.0212
1607,1.0052
1608,0.9877
1609,0.9717
1610,0.9558
1611,0.9398
1612,0.9239
1613,0.9095
1614,0.8935
1615,0.8792
1616,0.8648
1617,0.8505
1618,0.8361
1619,0.8217
1620,0.809
1621,0.7962
1622,0.7818
1623,0.7691
1624,0.7563
1625,0.7451
1626,0.7324
1627,0.7196
1628,0.7084
1629,0.6973
1630,0.6845
1631,0.6733
1632,0.6622
1633,0.6526
1634,0.6414
1635,0.6303
1636,0.6207
1637,0.6111
1638,0.5999
1639,0.5904
1640,0.5808
1641,0.5712
1642,0.5617
1643,0.5537
1644,0.5441
1645,0.5345
1646,0.5266
1647,0.5186
1648,0.509
1649,0.501
1650,0.493
1651,0.4851
1652,0.4771
1653,0.4691
1654,0.4627
1655,0.4547
1656,0.4468
1657,0.4404
1658,0.4324
1659,0.426
1660,0.4196
1661,0.4133
1662,0.4053
1663,0.3989
1664,0.3925
1665,0.3861
1666,0.3814
1667,0.375
1668,0.3686
1669,0.3622
1670,0.3574
1671,0.351
1672,0.3462
1673,0.3399
1674,0.3351
1675,0.3303
1676,0.3239
1677,0.3191
1678,0.3143
1679,0.3095
1680,0.3048
1681,0.3
1682,0.2952
1683,0.2904
1684,0.2856
1685,0.2808
1686,0.2776
1687,0.2728
1688,0.2681
1689,0.2649
1690,0.2601
1691,0.2569
1692,0.2521
1693,0.2489
1694,0.2441
1695,0.2409
1696,0.2377
1697,0.233
1698,0.2298
1699,0.2266
1700,0.2234
1701,0.2202
1702,0.217
1703,0.2138
1704,0.2106
1705,0.2074
1706,0.2042
1707,0.201
1708,0.1979
1709,0.1947
1710,0.1915
1711,0.1883
1712,0.1867
1713,0.1835
1714,0.1803
1715,0.1771
1716,0.1755
1717,0.1723
1718,0.1707
1719,0.1675
1720,0.1659
1721,0.1628
1722,0.1612
1723,0.158
1724,0.1564
1725,0.1532
1726,0.1516
1727,0.15
1728,0.1468
1729,0.1452
1730,0.1436
1731,0.1404
1732,0.1388
1733,0.1372
1734,0.1356
1735,0.1324
1736,0.1308
1737,0.1292
1738,0.1276
1739,0.1261
1740,0.1245
1741,0.1229
1742,0.1213
1743,0.1197
1744,0.1181
1745,0.1165
1746,0.1149
1747,0.1133
1748,0.1117
1749,0.1101
1750,0.1085
1751,0.1069
1752,0.1053
1753,0.1037
1754,0.1021
1755,0.1021
1756,0.1005
1757,0.0989
1758,0.0973
1759,0.0957
1760,0.0957
1761,0.0941
1762,0.0925
1763,0.0909
1764,0.0909
1765,0.0894
1766,0.0878
1767,0.0862
1768,0.0862
1769,0.0846
1770,0.0846
1771,0.083
1772,0.0814
1773,0.0814
1774,0.0798
1775,0.0782
1776,0.0782
1777,0.0766
1778,0.0766
1779,0.075
1780,0.075
1781,0.0734
