$ [qdt_kol001] [2015 - 2048],
$ [qdt_kol001],
JDAY,Q (M3/S)
1298,0.0215
1299,0.0211
1300,0.0208
1301,0.0204
1302,0.02
1303,0.0197
1304,0.0193
1305,0.019
1306,0.0186
1307,0.0184
1308,0.0181
1309,0.0177
1310,0.0175
1311,0.0171
1312,0.0169
1313,0.0165
1314,0.0163
1315,0.0161
1316,0.0157
1317,0.0155
1318,0.0152
1319,0.015
1320,0.0147
1321,0.0144
1322,0.0142
1323,0.014
1324,0.0137
1325,0.0135
1326,0.0132
1327,0.013
1328,0.0128
1329,0.0125
1330,0.0124
1331,0.0122
1332,0.012
1333,0.0117
1334,0.0116
1335,0.0114
1336,0.0111
1337,0.011
1338,0.0108
1339,0.0106
1340,0.0104
1341,0.0102
1342,0.0101
1343,0.01
1344,0.0097
1345,0.0096
1346,0.0094
1347,0.0093
1348,0.0091
1349,0.0089
1350,0.0088
1351,0.0087
1352,0.0084
1353,0.0083
1354,0.0082
1355,0.0081
1356,0.008
1357,0.0077
1358,0.0076
1359,0.0075
1360,0.0074
1361,0.0073
1362,0.0072
1363,0.007
1364,0.0069
1365,0.0068
1366,0.0067
1367,0.0066
1368,0.0064
1369,0.0063
1370,0.0062
1371,0.0061
1372,0.006
1373,0.006
1374,0.0059
1375,0.0057
1376,0.0056
1377,0.0055
1378,0.0054
1379,0.0054
1380,0.0053
1381,0.0052
1382,0.005
1383,0.005
1384,0.0049
1385,0.0048
1386,0.0047
1387,0.0047
1388,0.0046
1389,0.0045
1390,0.0045
1391,0.0043
1392,0.0042
1393,0.0042
1394,0.0041
1395,0.0041
1396,0.004
1397,0.004
1398,0.0039
1399,0.0038
1400,0.0038
1401,0.0036
1402,0.0036
1403,0.0035
1404,0.0035
1405,0.0034
1406,0.0034
1407,0.0033
1408,0.0033
1409,0.0032
1410,0.0032
1411,0.003
1412,0.003
1413,0.0029
1414,0.0029
1415,0.0029
1416,0.0028
1417,0.0028
1418,0.0027
1419,0.0027
1420,0.0027
1421,0.0026
1422,0.0026
1423,0.0025
1424,0.0025
1425,0.0025
1426,0.0023
1427,0.0023
1428,0.0023
1429,0.0022
1430,0.0022
1431,0.0022
1432,0.0021
1433,0.0021
1434,0.0021
1435,0.0021
1436,0.002
1437,0.002
1438,0.002
1439,0.0019
1440,0.0019
1441,0.0019
1442,0.0019
1443,0.0018
1444,0.0018
1445,0.0018
1446,0.0016
1447,0.0016
1448,0.0016
1449,0.0016
1450,0.0016
1451,0.0015
1452,0.0015
1453,0.0015
1454,0.0015
1455,0.0014
1456,0.0014
1457,0.0014
1458,0.0014
1459,0.0014
1460,0.0013
1461,0.0013
1462,0.0013
1463,0.0013
1464,0.005
1465,0.0101
1466,0.0129
1467,0.0127
1468,0.0124
1469,0.0122
1470,0.012
1471,0.0118
1472,0.0116
1473,0.0242
1474,0.0238
1475,0.0233
1476,0.023
1477,0.0225
1478,0.0222
1479,0.0218
1480,0.0215
1481,0.0211
1482,0.0291
1483,0.0286
1484,0.0415
1485,0.0408
1486,0.0401
1487,0.0404
1488,0.0402
1489,0.0511
1490,0.0503
1491,0.0494
1492,0.0485
1493,0.0484
1494,0.0506
1495,0.0497
1496,0.0492
1497,0.0484
1498,0.0476
1499,0.0558
1500,0.0634
1501,0.08
1502,0.0838
1503,0.091
1504,0.0898
1505,0.0883
1506,0.0869
1507,0.0853
1508,0.0839
1509,0.0824
1510,0.081
1511,0.0797
1512,0.0783
1513,0.077
1514,0.0757
1515,0.0744
1516,0.0732
1517,0.0811
1518,0.0846
1519,0.0836
1520,0.0821
1521,0.0808
1522,0.0809
1523,0.0795
1524,0.0781
1525,0.0768
1526,0.0755
1527,0.0742
1528,0.0835
1529,0.0821
1530,0.0807
1531,0.0793
1532,0.078
1533,0.0766
1534,0.0839
1535,0.0825
1536,0.098
1537,0.1203
1538,0.119
1539,0.117
1540,0.115
1541,0.113
1542,0.1111
1543,0.1093
1544,0.1074
1545,0.1055
1546,0.1038
1547,0.102
1548,0.1002
1549,0.0986
1550,0.0968
1551,0.0952
1552,0.0937
1553,0.092
1554,0.0905
1555,0.089
1556,0.0875
1557,0.0859
1558,0.0845
1559,0.083
1560,0.0816
1561,0.0802
1562,0.0986
1563,0.109
1564,0.1141
1565,0.1122
1566,0.1144
1567,0.1183
1568,0.121
1569,0.1341
1570,0.1319
1571,0.1313
1572,0.1291
1573,0.1291
1574,0.127
1575,0.1247
